"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: batchSize","Param: forceSafe","Param: intKey","Param: metaSync","Param: num","Param: sequential","Param: sync","Param: valRandom","Param: valSize","Param: writeMap"
"org.lmdbjava.bench.LmdbJni.readSeq","sample",1,248,36.628942,1.798490,"ms/op",,,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJni.readSeq","sample",1,143,65.363223,3.184656,"ms/op",,,true,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJni.readSeq","sample",1,219,41.801195,1.760162,"ms/op",,,false,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJni.readSeq","sample",1,133,69.869753,4.474539,"ms/op",,,false,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJni.readXxh64","sample",1,131,70.742860,4.222324,"ms/op",,,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJni.readXxh64","sample",1,112,84.683045,4.870118,"ms/op",,,true,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJni.readXxh64","sample",1,137,67.081597,3.711391,"ms/op",,,false,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJni.readXxh64","sample",1,92,102.135007,6.467945,"ms/op",,,false,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJni.write","sample",1,55,160.927818,13.946750,"ms/op",,,true,false,1000000,true,false,false,100,true
"org.lmdbjava.bench.LmdbJni.write","sample",1,14,859.757422,112.927872,"ms/op",,,true,false,1000000,false,false,false,100,true
"org.lmdbjava.bench.LmdbJni.write","sample",1,27,385.157499,36.414246,"ms/op",,,false,false,1000000,true,false,false,100,true
"org.lmdbjava.bench.LmdbJni.write","sample",1,9,1374.799644,125.825570,"ms/op",,,false,false,1000000,false,false,false,100,true
"org.lmdbjava.bench.LmdbLwjgl.readCrc","sample",1,100,95.170068,6.626937,"ms/op",,,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbLwjgl.readCrc","sample",1,78,122.555681,7.802067,"ms/op",,,true,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbLwjgl.readCrc","sample",1,72,134.823936,8.894975,"ms/op",,,false,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbLwjgl.readCrc","sample",1,63,153.491554,10.915387,"ms/op",,,false,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbLwjgl.readKey","sample",1,98,96.653563,6.969643,"ms/op",,,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbLwjgl.readKey","sample",1,18,665.321472,52.100894,"ms/op",,,true,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbLwjgl.readKey","sample",1,37,280.394890,24.615717,"ms/op",,,false,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbLwjgl.readKey","sample",1,11,1011.208564,190.731930,"ms/op",,,false,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbLwjgl.readRev","sample",1,275,33.422288,1.644224,"ms/op",,,true,,1000000,true,,false,100,true
