1             2     3          4          5       6                    7          8             9                    10             11                 12                13             14              15                 16             17
"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: batchSize","Param: forceSafe","Param: intKey","Param: metaSync","Param: num","Param: sequential","Param: sync","Param: valRandom","Param: valSize","Param: writeMap"
"org.lmdbjava.bench.MvStore.readSeq","sample",1,18,606.484708,73.009104,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.MvStore.readXxh64","sample",1,21,528.831829,44.217829,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.MvStore.readXxh64","sample",1,22,507.892084,35.134139,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.MvStore.readXxh64","sample",1,18,648.952036,58.880772,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.MvStore.readXxh64","sample",1,18,619.417145,58.763524,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.MvStore.write","sample",1,9,1274.136348,119.782914,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.MvStore.write","sample",1,9,1746.694599,286.238841,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.MvStore.write","sample",1,9,1718.266539,343.566326,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.MvStore.write","sample",1,9,2855.388956,491.104363,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.RocksDb.readCrc","sample",1,18,596.115456,62.120080,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.RocksDb.readCrc","sample",1,20,544.289587,60.009764,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.RocksDb.readCrc","sample",1,20,548.221747,67.600594,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.RocksDb.readCrc","sample",1,18,580.445070,51.371174,"ms/op",,,false,,1000000,false,,false,100,
